LawID,Angle_Deg,Skew_Deg,Fx_mm,Fy_mm,Fz_mm,Velocity_m_s,El_1_us,El_2_us,El_3_us,El_4_us,El_5_us,El_6_us,El_7_us,El_8_us,El_9_us,El_10_us,El_11_us,El_12_us,El_13_us,El_14_us,El_15_us,El_16_us,El_17_us,El_18_us,El_19_us,El_20_us,El_21_us,El_22_us,El_23_us,El_24_us,El_25_us,El_26_us,El_27_us,El_28_us,El_29_us,El_30_us,El_31_us,El_32_us,El_33_us,El_34_us,El_35_us,El_36_us,El_37_us,El_38_us,El_39_us,El_40_us,El_41_us,El_42_us,El_43_us,El_44_us,El_45_us,El_46_us,El_47_us,El_48_us,El_49_us,El_50_us,El_51_us,El_52_us,El_53_us,El_54_us,El_55_us,El_56_us,El_57_us,El_58_us,El_59_us,El_60_us,El_61_us,El_62_us,El_63_us,El_64_us
168,63.0,15.0,111.85421770969826,26.898048847150932,50.0,3240.0,0.0,0.06368404399415299,0.12505094949144824,0.18409007254411963,0.025140341375125157,0.08911232772472992,0.15075745168988147,0.21006493986076663,0.04934635855717692,0.11360627321707194,0.17552960665156092,0.23510545552231235,0.07259674313986939,0.13714447647343034,0.19934591774035038,0.2591900332786761,0.09486977703348035,0.15970512042964505,0.22218447196632002,0.2822966673377651,0.11614333476653803,0.18126597726923196,0.24402294231213262,0.3044029347036445,0.13639488667269106,0.2018044116332515,0.2648385909652059,0.3254859984307365,0.15560150300775616,0.22129738477146124,0.2846082735023266,0.34552261184077027,0.0,0.06368404399415299,0.12505094949144824,0.18409007254411963,0.025140341375125157,0.08911232772472992,0.15075745168988147,0.21006493986076663,0.04934635855717692,0.11360627321707194,0.17552960665156092,0.23510545552231235,0.07259674313986939,0.13714447647343034,0.19934591774035038,0.2591900332786761,0.09486977703348035,0.15970512042964505,0.22218447196632002,0.2822966673377651,0.11614333476653803,0.18126597726923196,0.24402294231213262,0.3044029347036445,0.13639488667269106,0.2018044116332515,0.2648385909652059,0.3254859984307365,0.15560150300775616,0.22129738477146124,0.2846082735023266,0.34552261184077027
169,64.0,-15.0,116.30252346689291,-25.03288412237917,50.0,3240.0,0.1863899267221783,0.1265101085386124,0.06437675714598023,0.0,0.21519809186297836,0.1550482150821693,0.0926353687907071,0.02796980341446617,0.24314742702652362,0.18272728149855358,0.12003472765781426,0.055080139485283564,0.2702181718918913,0.20952762682844261,0.14655523469945317,0.08131149356715425,0.29639016314887134,0.23542917017019352,0.1721768940614489,0.10664395743049271,0.3216428345678566,0.26041143075976253,0.19687931317369553,0.13105722936265637,0.3459552177998687,0.2844535287729061,0.22064170355466114,0.15453061497466666,0.3693059439512401,0.3075341868935403,0.2434428823732082,0.17704302875660538,0.1863899267221783,0.1265101085386124,0.06437675714598023,0.0,0.21519809186297836,0.1550482150821693,0.0926353687907071,0.02796980341446617,0.24314742702652362,0.18272728149855358,0.12003472765781426,0.055080139485283564,0.2702181718918913,0.20952762682844261,0.14655523469945317,0.08131149356715425,0.29639016314887134,0.23542917017019352,0.1721768940614489,0.10664395743049271,0.3216428345678566,0.26041143075976253,0.19687931317369553,0.13105722936265637,0.3459552177998687,0.2844535287729061,0.22064170355466114,0.15453061497466666,0.3693059439512401,0.3075341868935403,0.2434428823732082,0.17704302875660538
170,64.0,-10.0,118.23820781173652,-16.30157628768757,50.0,3240.0,0.12481762730657907,0.08550844268219969,0.04390026394511038,0.0,0.1568164994811619,0.11732725573111226,0.07552881547006642,0.03142817414256512,0.18798947638802166,0.14831995345462606,0.10633102144378505,0.06202976282178519,0.21831697718554444,0.1784670060254144,0.1362874058492757,0.09178534658706129,0.2477790036380036,0.20774846828413612,0.16537807950846534,0.12067509510423453,0.27635513925604493,0.2361439788921995,0.19358273924807423,0.1486787663352855,0.3040245491503263,0.26363276019277426,0.22088066776820398,0.17577570641485032,0.33076598064558915,0.2901936188265709,0.24725073426010216,0.2019448502701065,0.12481762730657907,0.08550844268219969,0.04390026394511038,0.0,0.1568164994811619,0.11732725573111226,0.07552881547006642,0.03142817414256512,0.18798947638802166,0.14831995345462606,0.10633102144378505,0.06202976282178519,0.21831697718554444,0.1784670060254144,0.1362874058492757,0.09178534658706129,0.2477790036380036,0.20774846828413612,0.16537807950846534,0.12067509510423453,0.27635513925604493,0.2361439788921995,0.19358273924807423,0.1486787663352855,0.3040245491503263,0.26363276019277426,0.22088066776820398,0.17577570641485032,0.33076598064558915,0.2901936188265709,0.24725073426010216,0.2019448502701065
171,64.0,-5.0,119.4055426737579,-7.434787708561022,50.0,3240.0,0.0625760775426978,0.04404210591899314,0.023182245967743525,0.0,0.09643323595473403,0.07781361563252806,0.05685743955577275,0.03356825471552454,0.12948437216485278,0.11077897620073393,0.08972634182802458,0.06633006098828828,0.1617100391612905,0.14291876432083472,0.12176955612122771,0.09826605170490268,0.19309036482035913,0.1742131325660007,0.15296726275707392,0.12935643796583127,0.2236050504860531,0.20464180797251777,0.18329921763777646,0.1595810076902382,0.25323337024970544,0.234184091324485,0.21274475153647332,0.18891912491272747,0.28195417097814307,0.2628188571845926,0.24128277013089167,0.21734972982023948,0.0625760775426978,0.04404210591899314,0.023182245967743525,0.0,0.09643323595473403,0.07781361563252806,0.05685743955577275,0.03356825471552454,0.12948437216485278,0.11077897620073393,0.08972634182802458,0.06633006098828828,0.1617100391612905,0.14291876432083472,0.12176955612122771,0.09826605170490268,0.19309036482035913,0.1742131325660007,0.15296726275707392,0.12935643796583127,0.2236050504860531,0.20464180797251777,0.18329921763777646,0.1595810076902382,0.25323337024970544,0.234184091324485,0.21274475153647332,0.18891912491272747,0.28195417097814307,0.2628188571845926,0.24128277013089167,0.21734972982023948
172,64.0,0.0,119.79564392980107,1.4999999999999998,50.0,3240.0,0.0,0.0023337289404559355,0.0023337289404559355,0.0,0.03437984201344027,0.036724380612226874,0.036724380612226874,0.03437984201344027,0.06796016042365997,0.07031552558523738,0.07031552558523738,0.06796016042365997,0.10072158099493642,0.10308778665681166,0.10308778665681166,0.10072158099493642,0.1326443029743134,0.1350213599821606,0.1350213599821606,0.1326443029743134,0.1637080974925114,0.16609601347440434,0.16609601347440434,0.1637080974925114,0.1938923066575684,0.19629108589742028,0.19629108589742028,0.1938923066575684,0.22317584338999386,0.225585486700692,0.225585486700692,0.22317584338999386,0.0,0.0023337289404559355,0.0023337289404559355,0.0,0.03437984201344027,0.036724380612226874,0.036724380612226874,0.03437984201344027,0.06796016042365997,0.07031552558523738,0.07031552558523738,0.06796016042365997,0.10072158099493642,0.10308778665681166,0.10308778665681166,0.10072158099493642,0.1326443029743134,0.1350213599821606,0.1350213599821606,0.1326443029743134,0.1637080974925114,0.16609601347440434,0.16609601347440434,0.1637080974925114,0.1938923066575684,0.19629108589742028,0.19629108589742028,0.1938923066575684,0.22317584338999386,0.225585486700692,0.225585486700692,0.22317584338999386
173,64.0,5.0,119.4055426737579,10.434787708561021,50.0,3240.0,0.0,0.023182245967743525,0.04404210591899314,0.0625760775426978,0.03356825471552454,0.05685743955577275,0.07781361563252806,0.09643323595473403,0.06633006098828828,0.08972634182802458,0.11077897620073393,0.12948437216485278,0.09826605170490268,0.12176955612122771,0.14291876432083472,0.1617100391612905,0.12935643796583127,0.15296726275707392,0.1742131325660007,0.19309036482035913,0.1595810076902382,0.18329921763777646,0.20464180797251777,0.2236050504860531,0.18891912491272747,0.21274475153647332,0.234184091324485,0.25323337024970544,0.21734972982023948,0.24128277013089167,0.2628188571845926,0.28195417097814307,0.0,0.023182245967743525,0.04404210591899314,0.0625760775426978,0.03356825471552454,0.05685743955577275,0.07781361563252806,0.09643323595473403,0.06633006098828828,0.08972634182802458,0.11077897620073393,0.12948437216485278,0.09826605170490268,0.12176955612122771,0.14291876432083472,0.1617100391612905,0.12935643796583127,0.15296726275707392,0.1742131325660007,0.19309036482035913,0.1595810076902382,0.18329921763777646,0.20464180797251777,0.2236050504860531,0.18891912491272747,0.21274475153647332,0.234184091324485,0.25323337024970544,0.21734972982023948,0.24128277013089167,0.2628188571845926,0.28195417097814307
174,64.0,10.0,118.23820781173652,19.301576287687574,50.0,3240.0,0.0,0.04390026394511038,0.08550844268219969,0.12481762730657907,0.03142817414256512,0.07552881547006642,0.11732725573111226,0.1568164994811619,0.06202976282178519,0.10633102144378505,0.14831995345462606,0.18798947638802166,0.09178534658706129,0.1362874058492757,0.17846700602542118,0.21831697718554444,0.12067509510423453,0.16537807950846534,0.20774846828413612,0.2477790036380036,0.1486787663352855,0.19358273924807423,0.2361439788921995,0.27635513925604493,0.17577570641485032,0.22088066776820398,0.26363276019277426,0.3040245491503263,0.2019448502701065,0.24725073426010216,0.2901936188265709,0.33076598064558915,0.0,0.04390026394511038,0.08550844268219969,0.12481762730657907,0.03142817414256512,0.07552881547006642,0.11732725573111226,0.1568164994811619,0.06202976282178519,0.10633102144378505,0.14831995345462606,0.18798947638802166,0.09178534658706129,0.1362874058492757,0.17846700602542118,0.21831697718554444,0.12067509510423453,0.16537807950846534,0.20774846828413612,0.2477790036380036,0.1486787663352855,0.19358273924807423,0.2361439788921995,0.27635513925604493,0.17577570641485032,0.22088066776820398,0.26363276019277426,0.3040245491503263,0.2019448502701065,0.24725073426010216,0.2901936188265709,0.33076598064558915
175,64.0,15.0,116.30252346689291,28.03288412237917,50.0,3240.0,0.0,0.06437675714598023,0.1265101085386124,0.1863899267221783,0.02796980341446617,0.0926353687907071,0.1550482150821693,0.21519809186297836,0.055080139485283564,0.12003472765781426,0.18272728149855358,0.24314742702652362,0.08131149356715425,0.14655523469945317,0.20952762682844261,0.2702181718918913,0.10664395743049271,0.17217689406143535,0.23542917017019352,0.29639016314887134,0.13105722936265637,0.19687931317369553,0.26041143075976253,0.3216428345678566,0.15453061497466666,0.22064170355466114,0.2844535287729061,0.3459552177998687,0.17704302875660538,0.2434428823732082,0.3075341868935403,0.3693059439512401,0.0,0.06437675714598023,0.1265101085386124,0.1863899267221783,0.02796980341446617,0.0926353687907071,0.1550482150821693,0.21519809186297836,0.055080139485283564,0.12003472765781426,0.18272728149855358,0.24314742702652362,0.08131149356715425,0.14655523469945317,0.20952762682844261,0.2702181718918913,0.10664395743049271,0.17217689406143535,0.23542917017019352,0.29639016314887134,0.13105722936265637,0.19687931317369553,0.26041143075976253,0.3216428345678566,0.15453061497466666,0.22064170355466114,0.2844535287729061,0.3459552177998687,0.17704302875660538,0.2434428823732082,0.3075341868935403,0.3693059439512401
176,65.0,-15.0,121.0615361761552,-26.251961669101565,50.0,3240.0,0.18867457174727595,0.1279583296770218,0.06506360392225267,0.0,0.2202289586022212,0.15924170436313803,0.09606696561230248,0.03071446397500695,0.25099733046646194,0.18973865774756501,0.12628349138656667,0.06064166978987618,0.28096173080048364,0.21943130254679727,0.1556953653363035,0.08976387498228929,0.310103822084314,0.2483013733514268,0.18428439636006927,0.11806296490617162,0.3384048841250834,0.2763302249608629,0.21203201652607853,0.1455204511224584,0.36584581292341045,0.30349883127054766,0.23891927998099513,0.17211747032992913,0.3924071201386799,0.3297877847517421,0.2649268624445043,0.19783478387495168,0.18867457174727595,0.1279583296770218,0.06506360392225267,0.0,0.2202289586022212,0.15924170436313803,0.09606696561230248,0.03071446397500695,0.25099733046646194,0.18973865774756501,0.12628349138656667,0.06064166978987618,0.28096173080048364,0.21943130254679727,0.1556953653363035,0.08976387498228929,0.310103822084314,0.2483013733514268,0.18428439636006927,0.11806296490617162,0.3384048841250834,0.2763302249608629,0.21203201652607853,0.1455204511224584,0.36584581292341045,0.30349883127054766,0.23891927998099513,0.17211747032992913,0.3924071201386799,0.3297877847517421,0.2649268624445043,0.19783478387495168
177,65.0,-10.0,123.08615730267155,-17.119485937030273,50.0,3240.0,0.1263492293294947,0.08645448196310303,0.04433588646348763,0.0,0.16113405447618595,0.12105847854311491,0.0787493010655254,0.03421316099857721,0.195165518680258,0.15490876666866626,0.11240864340865707,0.06767187018036554,0.22842586484304936,0.1879876335901076,0.1452962474085686,0.10035851041079359,0.26089694272665565,0.22027697534385243,0.17739405778872758,0.132255077479258,0.29256020642110436,0.2517582942424627,0.20868362759458517,0.16334317763843162,0.3233967123499924,0.2824126968994562,0.2391461162383669,0.1936040256701147,0.35338711785684884,0.3122208928305295,0.26876228811603703,0.2230184435184963,0.1263492293294947,0.08645448196310303,0.04433588646348763,0.0,0.16113405447618595,0.12105847854311491,0.0787493010655254,0.03421316099857721,0.195165518680258,0.15490876666866626,0.11240864340865707,0.06767187018036554,0.22842586484304936,0.1879876335901076,0.1452962474085686,0.10035851041079359,0.26089694272665565,0.22027697534385243,0.17739405778872758,0.132255077479258,0.29256020642110436,0.2517582942424627,0.20868362759458517,0.16334317763843162,0.3233967123499924,0.2824126968994562,0.2391461162383669,0.1936040256701147,0.35338711785684884,0.3122208928305295,0.26876228811603703,0.2230184435184963
178,65.0,-5.0,124.30712642899807,-7.845304674225187,50.0,3240.0,0.06334443325514032,0.04447923367847901,0.023363314160484126,0.0,0.10001140823519201,0.08105995033158601,0.05984756194445687,0.03637761062030771,0.13594468563332657,0.11690678230231191,0.09559771641859453,0.0720208980749799,0.17112665166350394,0.15200213641440546,0.13059620743821035,0.10691231765673205,0.20553929298352955,0.18632802085814412,0.1648250672553551,0.14103392819149155,0.2391641936602844,0.2198660421679917,0.1982659275101019,0.17436738904488147,0.27198253265896355,0.2525974027223603,0.2309000167421667,0.20689395764674998,0.3039750818992234,0.2845028988083368,0.2627081584652635,0.2385944875762049,0.06334443325514032,0.04447923367847901,0.023363314160484126,0.0,0.10001140823519201,0.08105995033158601,0.05984756194445687,0.03637761062030771,0.13594468563332657,0.11690678230231191,0.09559771641859453,0.0720208980749799,0.17112665166350394,0.15200213641440546,0.13059620743821035,0.10691231765673205,0.20553929298352955,0.18632802085814412,0.1648250672553551,0.14103392819149155,0.2391641936602844,0.2198660421679917,0.1982659275101019,0.17436738904488147,0.27198253265896355,0.2525974027223603,0.2309000167421667,0.20689395764674998,0.3039750818992234,0.2845028988083368,0.2627081584652635,0.2385944875762049
