LawID,Angle_Deg,Fx_mm,Fz_mm,El_1_us,El_2_us,El_3_us,El_4_us,El_5_us,El_6_us,El_7_us,El_8_us,El_9_us,El_10_us,El_11_us,El_12_us,El_13_us,El_14_us,El_15_us,El_16_us
18,57,41.9335283972712,27.231951750751353,0.0,0.12369422167027441,0.24372685989865284,0.3600402951033,0.4725803722789371,0.5812966394950044,0.6861425637496577,0.7870757211521348,0.8840579587919647,0.9770555261094445,1.0660391741025703,1.1509842212684644,1.2318705857696586,1.308682783916447,1.3814098956464225,1.450045498243998
19,58,42.402404807821306,26.495963211660246,0.0,0.1263547186697833,0.24915616957162254,0.36834541633895795,0.48386654947054486,0.5956669254742041,0.7036973884843462,0.8079124713870613,0.9082705737522145,1.0047341142033215,1.097269655257067,1.1858479991135928,1.27044425336969,1.3510378661433715,1.4276126306221033,1.500156659565585
20,59,42.85836503510562,25.75190374550271,0.0,0.12888033621575917,0.2543124789332126,0.3762366048654111,0.4945955140696218,0.6093348654616643,0.7204033992376555,0.8277531433884585,0.9313396016552535,1.0311219205071178,1.1270630330107039,1.2191297778101444,1.3072929918286844,1.39152757572912,1.4718125316234796,1.5481309729793655
21,60,43.30127018922193,25.000000000000007,0.0,0.1312782714966514,0.25921003347378985,0.3837349454244781,0.5047949207266357,0.6223343552928983,0.7363003469060655,0.8466429026342138,0.9533151318034537,1.0562734221522845,1.1554775969918771,1.2508910514513567,1.3424808661901166,1.4302178973005868,1.5140768415009724,1.5940362761092142
22,61,43.73098535696979,24.240481012316856,0.0,0.13355545113888054,0.2638625935749349,0.3908608850622606,0.514491700969446,0.6346985537023548,0.7514273059835658,0.8646263756233906,0.9742469294418405,1.0802430640769731,1.1825719715425065,1.281194087572718,1.3760732210159086,1.4671766628017695,1.5544752733072744,1.6379435472733483
23,62,44.14737964294635,23.473578139294542,0.0,0.13571850986636852,0.2682833823218553,0.3976341404298201,0.5237119203871896,0.6464596800769249,0.7658224041004479,0.8817473031771685,0.9941840057824035,1.1030847399163841,1.2084045029660884,1.3101012177306786,1.4081358728371014,1.502472645966575,1.5930790085426958,1.6799258107965516
24,63,44.550326209418394,22.69952498697734,0.0,0.13777377767864854,0.27248505152118235,0.40407363401640356,0.5324806763428495,0.6576488649941113,0.7795226170174625,0.8980482720098877,1.0131742789651255,1.1248513760511656,1.2330327614169447,1.3376742531873684,1.4387344369020574,1.536174798788132,1.6299598434290532,1.720057194591691
25,64,44.93970231495835,21.918557339453873,0.0,0.13972727385990938,0.276479662482929,0.410197454100709,0.5408220292639618,0.6682960449476719,0.7925636189788556,0.9135705131756315,1.0312643135190807,1.1455946056331465,1.2565131438368564,1.3639740120482828,1.4679337748751493,1.5683516173075316,1.6651894715503692,1.7584121296799033
26,65,45.3153893518325,21.130913087034973,0.0,0.14158470637876416,0.28027867860132777,0.41602283388303274,0.5487589613892889,0.6784298935930705,0.8049796792966111,0.9283537569387529,1.0484991267273598,1.1653645200738882,1.2789005647676428,1.389059944316756,1.495797549897437,1.5990706233983032,1.6988388901204887,1.7950646797975953
27,66,45.67727288213005,20.33683215379001,0.0,0.14335147547087793,0.2838929672204111,0.42156614590476565,0.5563133576657223,0.68807778279047,0.8168035970673178,0.9424361346715452,1.0649220513267956,1.1842094864145645,1.3002482226482475,1.4129898418947824,1.5223878757144098,1.6283979492039127,1.7309779167649155,1.8300879884863066
28,67,46.02524267262202,19.536556424463686,0.0,0.14503268039608133,0.2873328086693993,0.42684290845619427,0.5635060042514298,0.6972657676307356,0.8280666669386283,0.9558541194692297,1.0805746450765112,1.2021760200706875,1.3206074301927142,1.4358196214090786,1.5477650472379398,1.6563980113060885,1.7616748038491368,1.8635538308972424
29,68,46.35919272833937,18.7303296707956,0.0,0.14663312854368027,0.2906079107170442,0.4318678012088864,0.5703566007846131,0.7060185904803273,0.8387986698179074,0.968642498237127,1.0954966388552227,1.2193087035827497,1.3400274985541885,1.4576031687709108,1.5719873408122738,1.683133262440163,1.790995937911651,1.8955322578246725
30,69,46.67902132486009,17.918397477265017,0.0,0.14815734621032992,0.29372742699973137,0.43665468777792865,0.5768837831992786,0.7143596998464162,0.8490278833091648,0.9808343690075306,1.109725916023817,1.2356501431283298,1.3585556661134734,1.4783922354824208,1.595110873491097,1.7086640094955656,1.8190056125354988,1.9260913200711591
31,70,46.98463103929542,17.101007166283445,0.0,0.1496095905063805,0.2966999782526697,0.4412166433320797,0.5831051544252277,0.7223112805573139,0.8587811074820443,0.9924611581709052,1.123298516810818,1.251240955636705,1.3762370638528503,1.4982363778330294,1.617189511729841,1.73304828757641,1.8457658639262091,1.9552968620513942
